x_coord,lambda_eff_f
0.0,0.6
5.0,0.9160161018371582
10.0,1.2320321798324585
20.0,1.864064335823059
30.0,2.496096611022949
40.0,3.1281284840114294
60.0,4.688117156776511
80.0,5.981701215469951
100.0,7.219996885514768
120.0,8.421967131559352
140.0,9.64065704605203
160.0,10.848883327688117
180.0,12.049602810589793
200.0,13.21948183636119
220.0,14.372945700726778
240.0,15.530096415753214
260.0,16.656912358463725
280.0,17.77322668656696
300.0,18.85095425279598
320.0,19.897975223258477
340.0,20.848870598885423
360.0,21.8085230477284
380.0,22.758392455606312
400.0,23.693512552676495
420.0,24.63703655627597
440.0,25.48265845273467
460.0,26.316782044203237
480.0,27.059237098667452
500.0,27.748862850608646
520.0,28.42009064156845
540.0,29.02995122674529
560.0,29.513707545093304
580.0,29.995885734972177
600.0,30.418413862357234
620.0,30.831533713446646
640.0,31.261226815478196
660.0,31.731124738562002
680.0,32.23493064315064
700.0,32.771157516135276
720.0,33.27040180942182
740.0,33.77344240572712
760.0,34.24216699619489
780.0,34.71103385634327
800.0,35.17945247774522
820.0,35.64349162154133
840.0,36.066636864636436
860.0,36.496353451802115
880.0,36.87834188901852
900.0,37.259189650715875
920.0,37.603223815337266
940.0,37.892662581319875
960.0,38.16027463446258
980.0,38.40568500339142
1000.0,38.66352499452303
1020.0,38.91592000047717
1040.0,39.16952662392536
1060.0,39.433960238234654
1080.0,39.706190787451916
1100.0,40.06166913989994
1120.0,40.42764407942561
1140.0,40.82120940531355
1160.0,41.21886734309097
1180.0,41.58117251685899
1200.0,41.898474234890095
1220.0,42.24244233607561
1240.0,42.52105021434114
1260.0,42.72058743398328
1280.0,42.930533223251594
1300.0,43.12470447898527
1320.0,43.30983975210953
1340.0,43.47186343568365
1360.0,43.60567217630539
1380.0,43.741992668496216
1400.0,43.832483624953426
1420.0,43.963692360011024
1440.0,44.05290050123307
1460.0,44.261295416807975
1480.0,44.208492157086695
1500.0,44.92576274233357
